Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
Hazaaron Khwaishein Aisi,7.9,1,0,0,0,Drama,120
The Titan,4.8,1,0,0,0,Drama;Mystery;Romance;Sci-Fi;Thriller,97
Sliver,5,1,0,0,0,Drama;Thriller,107
Half Girlfriend,4.3,1,0,0,0,Drama;Romance,135
God Bless the Broken Road,5.5,1,0,0,0,Drama;Family;Romance,111
Summer Night,4.6,1,0,0,0,Comedy;Drama,98
Demetri Martin: The Overthinker,7.2,1,0,0,0,Comedy,56
Gie,7.6,1,0,0,0,Biography;Drama,147
The Boy Who Cried Werewolf,6,1,0,0,0,Comedy;Family;Fantasy,83
Pee-Wee's Playhouse Christmas Special,7.7,1,0,0,0,Comedy;Family;Musical,49
Bayonet,5.8,1,0,0,0,Drama,101
Jim Gaffigan: Cinco,7.1,1,0,0,0,Comedy,73
Cezanne and I,6,1,0,0,0,Biography;Drama,117
Diana: In Her Own Words,7.9,1,0,0,1,Documentary;Biography,112
Shiva,8,1,0,1,0,Action;Crime;Drama,161
The Tenth Man,5.7,1,0,0,0,Drama;War,100
Much Loved,6.2,1,0,0,0,Drama,104
Screwed,5.8,1,0,1,0,Comedy;Crime,81
Martial Arts of Shaolin,6.6,1,0,1,0,Action;Drama,99
Maska,6,1,0,1,0,Action;Comedy;Crime;Fantasy,101
Mike Birbiglia: What I Should Have Said Was Nothing,7.6,1,0,1,0,Comedy,60
Heal,6.9,1,0,0,0,Documentary,106
Svaha: The Sixth Finger,6.2,1,0,0,0,Horror;Mystery;Thriller,122
Death Race: Beyond Anarchy,5.2,1,0,0,0,Action;Adventure,111
Patton Oswalt: Talking for Clapping,6.8,1,0,0,0,Documentary;Comedy,65
Mara,5.1,1,0,0,0,Crime;Horror;Thriller,98
Return to the 36th Chamber,7,1,0,1,0,Action;Comedy,99
The Ridiculous 6,4.8,1,0,0,0,Comedy;Western,119
Shootout at Lokhandwala,7.1,1,0,0,0,Action;Crime,122
Big Time Movie,6.5,1,1,0,0,Comedy,68
I Fine..Thank You..Love You,7,1,0,0,0,Comedy;Romance,117
Puerto Ricans in Paris,5.3,1,0,0,0,Comedy,82
Njan Prakashan,7.6,1,0,0,0,Comedy;Drama,131
Skin Trade,5.6,1,0,0,0,Action;Crime;Thriller,96
Sebastian Maniscalco: What's Wrong with People?,8.1,1,0,0,0,Comedy,75
My Little Pony: Equestria Girls - Friendship Games,6.5,1,0,0,0,Animation;Family;Fantasy;Musical,72
Monster High: Great Scarrier Reef,6.2,1,0,0,0,Animation;Fantasy,71
Arctic Dogs,4.5,1,0,0,0,Animation;Adventure;Comedy;Family,92
The Gathering,7.2,1,0,0,0,Horror;Thriller,84
Last Ferry,6.4,1,0,0,0,Crime;Drama;Thriller,86
Iliza Shlesinger: Confirmed Kills,6.6,1,0,0,0,Comedy,77
A Christmas Prince: The Royal Baby,5.3,1,0,0,0,Family;Romance,84
Jinxed,6.5,1,0,0,0,Comedy;Family,75
Birdshot,6.6,1,0,0,0,Drama;Mystery;Thriller,116
The Eichmann Show,6.5,1,0,0,0,Drama;History,90
Boy Missing,6.4,1,0,0,0,Crime;Drama;Mystery;Thriller,105
Cats & Dogs: The Revenge of Kitty Galore,4.3,1,0,0,0,Action;Comedy;Family;Fantasy,82
Sardaar Ji,6.4,1,0,0,0,Comedy;Fantasy;Horror;Romance,141
Rocky Handsome,6.8,1,0,0,0,Action;Thriller,119
Psychokinesis,5.9,1,0,0,0,Action;Comedy;Fantasy,101
You Changed My Life,6.5,1,0,0,0,Comedy;Drama;Romance,111
Sarah Silverman: A Speck of Dust,6.8,1,0,0,0,Documentary;Comedy,71
Jab Harry Met Sejal,5.3,1,0,0,0,Comedy;Drama;Romance,143
The Roommate,4.8,1,0,0,0,Drama;Mystery;Thriller,91
Doom: Annihilation,3.6,1,0,0,0,Action;Adventure;Horror;Sci-Fi;Thriller,96
Stephanie,5.8,1,0,0,0,Horror;Mystery,86
The Vault,4.8,1,0,0,0,Crime;Horror;Mystery;Thriller,91
Theatre of Life,6.5,1,0,0,0,Drama,138
Why Me?,7.5,1,0,0,0,Action;Adventure;Comedy;Crime,87
Naked,5.4,1,0,0,0,Comedy;Drama,132
The Laws of Thermodynamics,6,1,0,0,0,Comedy,100
The Gospel of John,7.6,1,0,0,0,Biography;Drama;History,180
Jimmy Carr: The Best of Ultimate Gold Greatest Hits,7.3,1,0,0,0,Comedy,58
Dragon Tiger Gate,6.2,1,0,0,0,Action;Drama;Fantasy,94
#realityhigh,5.2,1,0,0,0,Comedy;Drama;Romance,99
Bride for Rent,6.4,1,0,0,0,Comedy;Romance,115
Polaroid,5.1,1,0,0,0,Drama;Horror;Mystery;Thriller,88
Yeh Ballet,7.6,1,0,0,0,Drama,117
The Watcher,5.3,1,0,0,0,Mystery;Thriller,103
Fukrey,6.9,1,0,0,0,Comedy;Drama;Romance,139
Some Kind of Beautiful,5.7,1,0,0,0,Comedy;Romance,99
I Am the Pretty Thing That Lives in the House,4.5,1,0,0,0,Horror;Mystery;Thriller,89
Ghayal,7.6,1,0,1,0,Action;Crime;Drama;Thriller,163
Father of the Year,5.2,1,0,0,0,Comedy,94
The Adderall Diaries,5.2,1,0,0,0,Crime;Drama;Thriller,87
Psycho,6.3,1,0,0,0,Horror;Mystery;Thriller,109
Wedding Unplanned,6.2,1,0,0,0,Comedy;Drama,94
CRD,6.3,1,0,0,0,Drama;Romance,108
Bad Seeds,7.3,1,0,0,0,Comedy,100
Armed to the Teeth,8.2,1,0,0,0,Documentary;Crime;Thriller,105
A Leaf of Faith,7,1,0,0,0,Documentary,86
7 Años,6.8,1,0,0,0,Drama,77
Ready,4.7,1,0,1,0,Action;Comedy,145
ABCD,6.3,1,0,1,0,Drama,105
300 Miles to Heaven,7.2,1,0,1,0,Biography;Drama,90
The Legacy of a Whitetail Deer Hunter,5.5,1,0,0,0,Comedy;Drama,83
Shorts,4.7,1,0,0,0,Comedy;Family;Fantasy,89
Rim of the World,5.1,1,0,0,0,Action;Adventure;Comedy;Sci-Fi,98
Clinical,5.1,1,0,0,0,Horror;Thriller,104
Phir Bhi Dil Hai Hindustani,6.2,1,0,0,0,Comedy;Drama;Musical;Romance,160
Sun Dogs,6.2,1,0,0,0,Comedy;Drama,94
Thor: Tales of Asgard,6.3,1,0,0,0,Animation;Action;Adventure;Fantasy;Sci-Fi,77
Phobia 2,6.7,1,0,0,0,Comedy;Fantasy;Horror;Mystery;Thriller,125
How to Get Over a Breakup,6.2,1,0,0,0,Comedy,104
Monty Python: Parrot Sketch Not Included,8.2,1,0,0,0,Comedy,72
Marc Maron: Thinky Pain,7.4,1,0,1,0,Comedy,95
First Kill,5,1,0,0,0,Action;Thriller,97
Barbra: The Music ... The Mem'ries ... The Magic!,7.5,1,0,0,0,Music,110
Ee Nagaraniki Emaindi,7.9,1,0,0,0,Comedy;Drama,122
Miss Julie,5.4,1,0,0,0,Drama;Romance,129
Why We Fight: Prelude to War,7,1,0,1,0,Documentary;War,52
Sunrise In Heaven,6.6,1,0,0,0,Drama;Romance,85
Michael Che Matters,7.1,1,0,0,0,Comedy,61
Theo Who Lived,6.8,1,0,0,0,Documentary,86
Everything About Her,7.2,1,0,0,0,Comedy;Drama,127
The Stand at Paxton County,6.4,1,0,0,0,Thriller,
Ready to Mingle,5.9,1,0,0,0,Comedy,95
The Journey Is the Destination,6.3,1,0,0,0,Drama,123
The Battle of Midway,6.1,1,0,1,0,Action;Drama;History;War,132
The Bye Bye Man,4.2,1,0,0,0,Drama;Fantasy;Horror;Mystery;Thriller,96
Lady-Like,6,1,0,0,0,Comedy;Romance,82
Extremis,7.3,1,0,0,0,Horror;Thriller,93
Gnome Alone,5.6,1,0,0,0,Animation;Adventure;Comedy;Family;Fantasy,85
Naomi and Ely's No Kiss List,5.5,1,0,0,0,Comedy;Drama;Romance,89
Legendary Weapons of China,7,1,0,1,0,Action;Comedy;Drama,109
A Love Story,6.5,1,0,0,0,Drama,100
1920,6.4,1,0,1,0,Horror;Mystery;Romance;Thriller,138
Spy Kids: All the Time in the World,3.5,1,0,0,0,Action;Adventure;Comedy;Family;Sci-Fi,89
The Blue Umbrella,7.5,1,0,0,0,Comedy;Drama;Family;Fantasy,90
Rajma Chawal,5.8,1,0,0,0,Comedy;Drama;Family,117
You Carry Me,7,1,0,0,0,Action;Drama,155
Monster High: Electrified,5.7,1,0,0,0,Animation;Fantasy,71
Running for Grace,6.1,1,0,0,0,Family;Romance,110
Saving Capitalism,6.8,1,0,0,0,Documentary,73
End Game,7.1,1,0,1,0,Action;Crime;Drama;Mystery;Thriller,93
Story of an Egg,8,1,0,0,0,Comedy;Drama,124
Love on Delivery,6.9,1,0,1,0,Comedy,100
The Little Mermaid,4.2,1,0,0,1,Animation;Family;Fantasy;Musical;Romance,83
Eerie,4.7,1,0,1,0,Horror;Mystery;Thriller,101
3022,4.5,1,0,0,0,Sci-Fi,91
No Other Woman,6.3,1,0,0,0,Action;Adventure;Comedy;Musical;Romance,77
Invisible Essence: The Little Prince,7.5,1,0,0,0,Documentary,90
Naam Shabana,6.3,1,0,0,0,Action;Thriller,147
Girls & Panzer: The Movie,7.3,1,0,0,0,Animation;Action;Comedy;Sport;War,122
Pyaar Ke Side Effects,6.7,1,0,0,0,Comedy;Drama;Romance,132
Humpty Sharma Ki Dulhania,6,1,0,0,0,Comedy;Drama;Romance,133
Chris D'Elia: Incorrigible,6.5,1,0,0,0,Documentary;Comedy,83
Lommbock,6.8,1,0,0,0,Comedy,91
There's Something in the Water,6.7,1,0,0,0,Documentary,73
It Takes A Man And A Woman,6.7,1,0,0,0,Comedy;Drama;Romance,120
Good Luck,6.7,1,0,0,0,Drama,90
Birthmarked,5.7,1,0,0,0,Comedy,90
Zapped,5.1,1,1,0,1,Comedy;Family;Fantasy,102
Twin Murders: The Silence of the White City,5.2,1,0,0,0,Action;Adventure;Crime;Drama;Horror;Mystery;Thriller,110
Bheeshma,6.7,1,0,0,0,Action;Comedy;Romance,150
Dave Chappelle: Equanimity,8.2,1,0,0,0,Comedy,64
Tom and Jerry: The Magic Ring,6.3,1,0,0,0,Animation;Action;Comedy;Family;Fantasy,62
My Stupid Boss,7.2,1,0,0,0,Comedy,108
Zion,7.2,1,0,0,0,Documentary;Short;Sport,12
Mr. Pig,5.7,1,0,0,0,Drama,100
Loev,5.8,1,0,0,0,Drama;Romance,92
Manu,7.9,1,0,0,0,Mystery;Romance;Thriller,180
Main Meri Patni Aur Woh,7.3,1,0,0,0,Comedy;Drama;Romance,129
Painted Faces,7,1,0,0,0,Drama,112
Deewana,6.8,1,0,1,0,Action;Comedy;Crime;Musical;Romance,185
Sister Cities,6.8,1,0,0,0,Drama,86
Janaan,7.1,1,0,0,0,Drama;Musical;Romance,133
Travis Scott: Look Mom I Can Fly,6.3,1,0,0,0,Documentary;Music,84
A Dangerous Woman,5.8,1,0,0,0,Drama;Romance,102
Beast Stalker,6.8,1,0,0,0,Action;Thriller,109
Eddie: Strongman,7.5,1,0,0,0,Documentary,98
Bolbol Hayran,6.4,1,0,0,0,Comedy;Romance,110
ABCD 2,5.4,1,0,0,0,Biography;Drama;Music,154
Road to Roma,7.7,1,0,0,0,Documentary,72
The Love Affair,6.2,1,0,0,0,Drama,90
We Are Young. We Are Strong.,7.1,1,0,0,0,Crime;Drama;History,123
Our Planet: Behind The Scenes,8.3,1,0,0,0,Documentary,63
The Black Prince,6.6,1,0,0,0,Drama;History,118
Kuchh Bheege Alfaaz,7.5,1,0,0,0,Romance,116
Kingdom of Us,7,1,0,0,0,Documentary;Drama,109
My Little Pony: Equestria Girls - Legend of Everfree,6.4,1,0,0,0,Animation;Comedy;Family;Fantasy;Musical,73
Pa Paandi,7.6,1,0,1,0,Action;Drama;Family;Musical;Romance,125
The Humanity Bureau,4.8,1,0,0,0,Action;Adventure;Sci-Fi;Thriller,95
Barbie in Princess Power,5.5,1,0,0,0,Animation;Family;Fantasy,73
Big Kill,5.3,1,0,0,0,Action;Western,126
Accident,6.6,1,0,0,0,Drama,105
Girlfriend's Day,5.2,1,0,0,0,Comedy;Drama,65
The Ruthless,6.2,1,0,0,0,Crime;Drama,111
Thambi,6.8,1,0,0,0,Action;Thriller,149
Roped,5.5,1,0,0,0,Drama;Romance,91
All I Wish,5.1,1,0,0,0,Comedy;Drama;Romance,94
İncir Reçeli 2,6.1,1,0,0,0,Drama;Romance,103
I Don't Know How She Does It,4.9,1,0,0,0,Comedy;Romance,89
Bob Lazar: Area 51 and Flying Saucers,5.5,1,0,0,0,Documentary,97
League of Legends Origins,6.5,1,0,0,0,Documentary,77
Varane Avashyamund,6.9,1,0,0,0,Drama,145
Out of Thin Air,6.3,1,0,0,0,Documentary;Crime,85
Jeff Dunham: Minding the Monsters,7.1,1,0,1,0,Comedy,80
Noblemen,5.8,1,0,0,0,Drama,108
Highly Strung,7.2,1,0,0,0,Drama;Music,96
Gabriel Iglesias: I'm Sorry for What I Said When I Was Hungry,7.4,1,0,0,0,Comedy,87
Bert Kreischer: The Machine,7.7,1,0,0,0,Comedy,70
The Music of Silence,6.6,1,0,0,0,Biography;Drama;Music,115
The Feels,5.1,1,0,0,0,Comedy;Romance,90
Russell Peters: Notorious,7.1,1,0,0,0,Comedy,71
Jeff Dunham: All Over the Map,7.1,1,0,1,0,Comedy,83
Sara's Notebook,5.9,1,0,0,0,Adventure;Drama;Mystery;Thriller,115
Surga yang Tak Dirindukan,7.9,1,0,0,0,Drama;Romance,125
Chamatkar,6.6,1,0,0,0,Comedy;Drama;Fantasy,171
93 Days,6,1,0,1,0,Drama,118
Phantom,5.9,1,0,0,0,Action;Horror;Romance;Sci-Fi;Thriller,93
Catfight,5.8,1,0,0,0,Comedy;Drama,95
Ayat-Ayat Cinta 2,5.6,1,0,0,0,Drama;Romance,125
Munafik 2,6.3,1,0,0,0,Horror,104
Jhankaar Beats,7.2,1,0,0,0,Comedy;Music,143
Dark Crimes,4.9,1,0,0,0,Crime;Drama;Thriller,92
Tim Minchin and the Heritage Orchestra: Live at the Royal Albert Hall,8.5,1,0,1,0,,
Your Son,6.1,1,0,0,0,Drama,103
B.A. Pass,6.4,1,0,0,0,Crime;Drama;Thriller,95
Hostage to the Devil,5.8,1,0,0,0,Documentary;Biography;History;Horror;Mystery,90
Once Upon a Time in London,6.1,1,0,0,0,Crime,111
Visions,5.3,1,0,0,0,Drama;Horror;Mystery;Thriller,82
The Most Hated Woman in America,6.1,1,0,0,0,Biography;Drama;History,91
The Silence of the Sky,6.5,1,0,0,0,Drama;Thriller,102
Duplicate,5.5,1,0,0,0,Drama;Sci-Fi,95
Sam Kinison: Breaking the Rules,7.3,1,0,1,0,Documentary;Comedy,50
Wrong Side Raju,8,1,0,0,0,Drama;Thriller,140
Good People,5.5,1,0,0,0,Action;Crime;Thriller,90
Devil's Bride,6,1,0,0,0,Drama;History,110
Sebastian Maniscalco: Stay Hungry,7.1,1,0,0,0,Comedy,65
The Last Laugh,5.6,1,0,0,0,Comedy,98
Escape from the 'Liberty' Cinema,7.2,1,0,0,0,Comedy;Drama;Fantasy,92
Government Woman,6.5,1,0,0,0,Comedy,99
Hoodwinked Too! Hood VS. Evil,4.7,1,0,0,0,Animation;Comedy;Crime;Family;Mystery,86
Whitney Cummings: Can I Touch It?,6.4,1,0,0,0,Comedy,59
Yol Arkadaşım 2,5.9,1,0,0,0,Drama;Romance,
Anaarkali of Aarah,6.4,1,0,0,0,Drama,113
Dead Kids,5.5,1,0,0,0,Horror;Mystery;Sci-Fi;Thriller,105
Verses of Love,7.1,1,0,0,0,Drama;Romance,130
Nang-Nak,6.5,1,0,0,0,Horror;Romance;War,100
From One Second to the Next,7.4,1,0,0,0,Documentary;Short,34
Swiped,3.6,1,0,0,0,Comedy,93
Freedom at Midnight,7.4,1,0,0,0,Action;Crime;Thriller,138
Jeff Dunham: Relative Disaster,6.4,1,0,0,0,Comedy,70
Loving,5.3,1,0,0,0,Drama;Romance,105
Sarvam Thaala Mayam,7.6,1,0,0,0,Drama;Music,131
Rocco,5.8,1,0,0,0,Documentary,105
The Cell,6.4,1,0,0,0,Horror;Sci-Fi;Thriller,107
Gori Tere Pyaar Mein,5,1,0,0,0,Comedy;Drama;Romance,150
Operações Especiais,6.4,1,0,0,0,Action;Thriller,98
Vizontele Tuuba,6.5,1,0,0,0,Comedy;Drama,111
Summer of '92,6.9,1,0,0,0,Biography;Comedy;Drama;Sport,93
Power of Grayskull: The Definitive History of He-Man and the Masters of the Universe,6.8,1,0,0,0,Documentary;History,95
Waiting,7.2,1,0,0,0,Comedy,94
Shor in the City,7.2,1,0,0,0,Crime;Drama,112
Bangkok Traffic Love Story,7.2,1,0,0,0,Comedy;Romance,126
Inside Man: Most Wanted,5.6,1,0,0,0,Action;Crime;Thriller,105
Dabbe 5: Zehr-i Cin,6,1,0,0,0,Horror;Mystery,133
Chris D'Elia: Man on Fire,6.6,1,0,0,0,Documentary;Comedy,65
Chris Tucker Live,6.3,1,0,0,0,Documentary;Comedy,92
The Rehearsal,5.7,1,0,0,0,Drama,102
Diana: 7 Days That Shook the Windsors,7.4,1,0,0,0,Documentary,91
Antoine Griezmann: The Making of a Legend,6.5,1,0,0,0,Documentary;Biography;Sport,60
Muramba,8.1,1,0,0,0,Comedy;Family,128
Ho Mann Jahaan,7.2,1,0,1,0,Drama;Musical,170
Yol Arkadaşım,6.1,1,0,0,0,Comedy;Family,93
Watchman,6.3,1,0,0,0,Thriller,95
Love for Sale,7.4,1,0,0,0,Drama,90
Vir Das: Abroad Understanding,6.8,1,0,0,0,Comedy,65
Wrong No.,6.7,1,0,1,0,Comedy;Romance,133
Sahara,5.5,1,0,0,0,Action;Adventure;Comedy,124
Stereo,6.6,1,0,0,0,Crime;Thriller,98
Be Somebody,5.6,1,0,0,0,Comedy;Drama;Romance,88
Belmonte,6.1,1,0,0,0,Comedy;Drama,74
Sitara: Let Girls Dream,7.3,1,0,0,0,Animation;Short,15
Derren Brown: The Push,7.7,1,0,0,0,Reality-TV,68
Off Course,5.8,1,0,0,0,Comedy,104
Düğün Dernek 2: Sünnet,6.4,1,0,0,0,Comedy,112
San Pietro,6.6,1,0,1,0,Documentary;Short;War,32
Sarajevo,6.7,1,0,0,0,Drama;War,103
Balu Mahi,6.4,1,0,0,0,Adventure;Drama;Romance,150
A Cinderella Story: Christmas Wish,5.2,1,0,0,0,Comedy;Family;Fantasy;Music;Romance,85
Once Again,7.1,1,0,1,0,Drama;Romance,101
Mortified Nation,7.3,1,0,0,0,Documentary,84
The Mistress,6.3,1,0,1,0,Drama,125
Don Verdean,5.4,1,0,0,0,Adventure;Comedy;Drama,90
Tremors 5: Bloodlines,5.3,1,0,0,0,Action;Adventure;Comedy;Horror;Sci-Fi;Thriller,99
The Sinking of Van Der Wijck,7.6,1,0,0,0,Drama;Romance,164
Sturgill Simpson Presents Sound & Fury,6.5,1,0,0,0,Animation;Short,41
Mary's Land,6.6,1,0,0,0,Documentary;Mystery,116
Olmo and the Seagull,7.3,1,0,0,0,Documentary;Drama;Family;Romance,82
Sister In Law,5.1,1,0,0,0,Comedy;Family;Romance,109
The Other One: The Long; Strange Trip of Bob Weir,7.4,1,0,0,0,Documentary;Biography;Music,85
Sebastian Maniscalco: Why Would You Do That?,7.3,1,0,0,0,Comedy,63
Walk. Ride. Rodeo.,6.4,1,0,0,0,Biography;Drama,100
Emmanuel Macron: Behind the Rise,6.9,1,0,0,0,Documentary,91
Aadu 2,7.1,1,0,0,0,Comedy,160
Dude,5.1,1,0,0,0,Comedy;Drama,97
Franca: Chaos and Creation,7.6,1,0,0,0,Documentary;Biography,80
Shéhérazade,7.1,1,0,0,0,Drama;Romance,101
Under the Eiffel Tower,5.1,1,0,0,0,Comedy;Romance,87
Motu Patlu: King Of Kings,6.7,1,0,0,0,Animation;Adventure;Comedy,110
I Hate Luv Storys,5.6,1,0,0,0,Comedy;Drama;Romance,129
Küçük Esnaf,5.6,1,0,0,0,Action;Adventure;Comedy,104
The Chosen Ones,6.7,1,0,0,0,Drama,105
The Love Guru,3.8,1,0,1,0,Comedy;Romance;Sport,87
Consequences,6.6,1,0,0,0,Drama,95
Elisa & Marcela,6.5,1,0,0,0,Biography;Drama;Romance,118
The Clapper,5.1,1,0,0,0,Comedy;Drama,89
7 Khoon Maaf,6.1,1,0,0,0,Drama;Mystery;Thriller,137
Very Big Shot,7.2,1,0,0,0,Action;Crime;Drama;Thriller,107
Barça Dreams,7.3,1,0,0,0,Documentary;Sport,120
El Pepe; A Supreme Life,7,1,0,0,0,Documentary;Biography,74
Frank and Cindy,6.1,1,0,0,0,Comedy,102
Monty Python's Flying Circus: Live at Aspen,7.9,1,0,0,0,Documentary;Comedy,58
Catwalk: Tales from the Catshow Circuit,6.3,1,0,0,0,Documentary,75
SuckSeed,7.5,1,0,0,0,Comedy;Music;Romance,130
Perdida,5.6,1,0,0,0,Drama;Mystery;Thriller,149
Why We Fight: The Battle of Russia,7.1,1,0,1,0,Documentary;History;War,83
In the Shadow of Iris,6.1,1,0,1,0,Drama;Thriller,99
The Animal People,7.2,1,0,0,0,Documentary,97
Despite Everything,5.3,1,0,0,0,Comedy,78
Tyke Elephant Outlaw,7.4,1,0,0,0,Documentary,78
Dragonheart 3: The Sorcerer's Curse,5.1,1,0,0,0,Action;Adventure;Fantasy,98
Jackass Presents: Bad Grandpa .5,6.3,1,0,0,0,Comedy,76
Barbie: Spy Squad,5.7,1,0,0,0,Animation;Family,75
David Cross: Making America Great Again,6.4,1,0,0,0,Comedy,74
The President's Barber,6.9,1,0,0,0,Comedy;Drama,116
The Carter Effect,7.1,1,0,0,0,Documentary;Sport,60
Nate Bargatze: The Tennessee Kid,7.5,1,0,0,0,Comedy,60
Dying to Tell,6.7,1,0,0,0,Documentary,87
Jarhead 2: Field of Fire,5.5,1,0,0,0,Action;Drama;War,103
Neşeli Hayat,6.1,1,0,0,0,Comedy,100
Euphoria,6.5,1,0,0,0,Drama,55
Growing Up Wild,7.3,1,0,0,0,Documentary,78
After Porn Ends 3,5.3,1,0,0,0,Documentary,86
Havenhurst,4.8,1,0,0,0,Horror;Mystery;Thriller,85
Monster High: New Ghoul at School,6.8,1,0,0,0,Animation;Short;Fantasy,23
Like Arrows,6.3,1,0,0,0,Drama,100
LEGO Marvel Super Heroes: Avengers Reassembled!,6.2,1,0,0,0,Animation;Short;Action;Adventure;Comedy;Sci-Fi,22
Forever Pure,7.4,1,0,0,0,Documentary,85
God's Not Dead: A Light in Darkness,4.5,1,0,0,0,Drama,105
A Grand Night In: The Story of Aardman,7.6,1,0,0,0,Documentary;History,60
Taramani,7.5,1,0,1,0,Drama;Romance,150
Rip Tide,5.5,1,0,0,0,Drama;Family,85
Brené Brown: The Call to Courage,7.6,1,0,0,0,Documentary;Drama,76
One Day: Justice Delivered,5.6,1,0,0,0,Action;Crime;Thriller,124
Katt Williams: Great America,6.1,1,0,0,0,Comedy,60
Khubsoorat,7.7,1,0,0,0,Comedy;Romance,130
Judwaa 2,3.8,1,0,0,0,Action;Comedy,145
Singularity,3.8,1,0,0,0,Action;Adventure;Drama;Sci-Fi,92
Gad Elmaleh: American Dream,7.2,1,0,0,0,Comedy,57
Kis Kisko Pyaar Karoon,5.7,1,0,1,0,Comedy,133
The Incredible Story of the Giant Pear,6.1,1,0,0,0,Animation,79
The Heretics,4.7,1,0,0,0,Fantasy;Horror,87
One Heart: The A.R. Rahman Concert Film,8.7,1,0,0,0,Documentary;Music,87
Samantaral,7.6,1,0,0,0,Drama,114
The Girl from the Song,5.6,1,0,0,0,Drama;Music;Romance,102
Tikli and Laxmi Bomb,8.2,1,0,0,0,Drama,151
The Wedding Curse,6.2,1,0,0,0,Drama;Horror;Thriller,110
River's Edge,6.2,1,0,0,0,Crime;Drama,99
Battle Drone,5.2,1,0,0,0,Action;Sci-Fi,93
Puriyaatha Puthir,6.6,1,0,1,0,Thriller,140
Fittest in Dubai,6,1,0,0,0,Documentary;Sport,60
Fortune Feimster: Sweet & Salty,6.8,1,0,0,0,Comedy,61
In Family I Trust,6.2,1,0,0,0,Comedy,97
Ana e Vitória,6.6,1,0,0,0,Biography;Comedy;Music;Musical;Romance,115
The Last Hangover,6.2,1,0,0,0,Short;Comedy,44
LEGO DC Comics Super Heroes: Batman: Be-Leaguered,6.6,1,0,0,0,,
Masameer: The Movie,6,1,0,0,0,Animation,110
Ghost of the Mountains,6.8,1,0,0,0,Documentary,78
Pottersville,5.4,1,0,0,0,Comedy,84
Riot,5.1,1,0,0,0,Action,87
The Last Resort,7.3,1,0,0,0,Horror;Thriller,75
He Even Has Your Eyes,6.2,1,0,0,0,Comedy,95
The Hard Way,4.8,1,0,0,0,Drama;Musical;Romance,109
Jim Norton: Mouthful of Shame,6.8,1,0,0,0,Comedy,61
Barbie & Her Sisters in A Pony Tale,6.2,1,0,0,0,Animation;Family,72
Luv Shuv Tey Chicken Khurana,6.6,1,0,0,0,Comedy,140
My Little Pony: Best Gift Ever,8,1,0,0,0,Animation;Short;Comedy;Family;Fantasy;Musical,44
Tig Notaro: Happy To Be Here,6.6,1,0,0,0,Comedy,58
Surga Yang Tak Dirindukan 2,7.2,1,0,0,0,Drama;Romance,121
Pahuna: The Little Visitors,7.6,1,0,0,0,Drama;Mystery,88
Azhar,5.8,1,0,0,0,Biography;Drama;Sport,130
Never Heard,5.2,1,0,0,0,Drama;Family,89
Mayday Life,7.7,1,0,0,0,Music,112
Ferrari Ki Sawaari,6.4,1,0,1,0,Comedy;Drama;Family;Sport,140
Secret Obsession,4.3,1,0,0,0,Drama;Mystery;Thriller,97
Hedefim Sensin,6.2,1,0,0,0,Comedy,113
Barbie in Rock 'N Royals,6,1,0,0,0,Animation;Family,84
Ray Romano: Right Here; Around the Corner,7.2,1,0,0,0,Documentary;Comedy,58
Merata: How Mum Decolonised the Screen,6.9,1,0,0,0,Documentary;Biography,89
Raja Natwarlal,6.1,1,0,0,0,Crime;Thriller,141
Mother,5.6,1,1,1,0,Drama;Horror;Mystery,121
Ken Jeong: You Complete Me; Ho,5.7,1,0,0,0,Comedy,62
The Apostate,6,1,0,0,0,Comedy,80
Hamid,7.8,1,0,0,0,Drama,108
Let's Dance,5.9,1,0,0,0,Crime;Drama;Music;Romance,104
Clair Obscur,6.5,1,0,0,0,Drama,105
Burning Cane,5.5,1,0,0,0,Drama,77
Bypass Road,5.4,1,0,0,0,Drama;Mystery;Thriller,137
Monster High: Welcome to Monster High,5.6,1,0,0,0,Animation;Fantasy,73
Liar; Liar; Vampire,5.8,1,0,0,0,Comedy;Family,69
Kurtuluş Son Durak,6.2,1,0,0,0,Comedy;Drama,106
Late Life: The Chien-Ming Wang Story,7.1,1,0,0,0,Documentary;Sport,99
The Lion Woman,6.6,1,0,0,0,Drama,126
Blood Money,4.4,1,0,1,0,Crime;Drama;Thriller,100
Husband Factor: Resurrection,5.8,1,0,0,0,Comedy;Drama;Fantasy,108
Hari Kondabolu: Warn Your Relatives,6.4,1,0,0,0,Comedy,67
Recovery Boys,6.5,1,0,0,0,Documentary,89
Selfie 69,6.3,1,0,0,0,Action;Comedy;Romance,116
Albion: The Enchanted Stallion,5.2,1,0,0,0,Action;Adventure;Comedy;Family;Fantasy,106
Manje Bistre,6.6,1,0,0,0,Comedy;Drama,137
Laaf Wa Dawaraan,5.6,1,0,0,0,Comedy;Family,90
Ryan Hamilton: Happy Face,7.3,1,0,0,0,Documentary;Comedy,56
Mojave,5.2,1,0,0,0,Drama;Thriller,93
A Week in Watts,6.3,1,0,0,0,Documentary,91
The Unmarried Wife,6,1,0,0,0,Drama;Romance,130
Gardeners of Eden,8.4,1,0,0,0,Documentary;Adventure;Drama;News,72
