Title,IMDb,Netflix,Hulu,Prime Video,Disney+,Genres,Runtime
The Dawn Wall,8.1,1,0,0,0,Documentary;Biography;Sport,100
Dolemite Is My Name,7.3,1,0,0,0,Biography;Comedy;Drama,118
Tarzan,7.3,1,0,0,0,Action;Adventure;Drama;Fantasy;Romance,110
The Platform,7,1,0,0,0,Horror;Sci-Fi;Thriller,94
Okja,7.3,1,0,0,0,Action;Adventure;Drama;Sci-Fi,120
Roma,7.7,1,0,0,0,Action;Drama;History;Romance;War,52
Saving Mr. Banks,7.5,1,0,0,1,Biography;Comedy;Drama,125
Icarus,7.9,1,0,0,0,Documentary;Sport;Thriller,120
Jiro Dreams of Sushi,7.9,1,1,0,0,Documentary,81
Corpse Bride,7.3,1,0,0,0,Animation;Drama;Family;Fantasy;Musical;Romance,77
Jerry Maguire,7.3,1,0,0,0,Comedy;Drama;Romance;Sport,139
The Death of Stalin,7.2,1,0,0,0,Comedy;Drama;History,107
GoldenEye,7.2,1,0,0,0,Action;Adventure;Thriller,130
The Boy in the Striped Pyjamas,7.8,1,0,0,0,Drama;War,94
Amy,7.8,1,0,1,1,Drama,60
Ralph Breaks the Internet,7.1,1,0,0,0,Animation;Adventure;Comedy;Family;Fantasy,112
Good Time,7.4,1,0,0,0,Crime;Drama;Thriller,102
Ip Man 2,7.5,1,0,0,0,Action;Biography;Drama;History,108
The Little Prince,7.7,1,0,0,0,Animation;Adventure;Drama;Family;Fantasy,108
The Spectacular Now,7.1,1,0,0,0,Comedy;Drama;Romance,95
Baahubali 2: The Conclusion,8.2,1,0,0,0,Action;Drama,167
Black Mirror: Bandersnatch,7.2,1,0,0,0,Drama;Mystery;Sci-Fi;Thriller,90
PK,8.1,1,0,0,0,Comedy;Drama;Fantasy,153
Extraction,6.8,1,0,0,0,Action;Thriller,116
The Lobster,7.2,1,0,0,0,Comedy;Drama;Romance;Sci-Fi;Thriller,119
Blue Valentine,7.4,1,0,0,0,Drama;Romance,112
Zindagi Na Milegi Dobara,8.1,1,0,0,0,Comedy;Drama,155
Green Room,7,1,0,0,0,Horror;Music;Thriller,95
Kung Fu Panda 2,7.2,1,0,0,0,Animation;Action;Adventure;Comedy;Family;Fantasy,90
The Ballad of Buster Scruggs,7.3,1,0,0,0,Comedy;Drama;Musical;Mystery;Romance;Western,133
Cloverfield,7,1,0,0,0,Action;Adventure;Horror;Mystery;Sci-Fi;Thriller,85
Burning,7.5,1,0,0,0,Drama;Mystery,148
The Adventures of Tintin,7.3,1,0,0,0,Animation;Action;Adventure;Family;Mystery,107
Bolt,6.8,1,0,0,1,Animation;Adventure;Comedy;Drama;Family,96
Neon Genesis Evangelion: The End of Evangelion,8.1,1,0,0,0,Animation;Action;Drama;Fantasy;Sci-Fi,87
Chasing Amy,7.2,1,0,0,0,Comedy;Drama;Romance,113
The Princess and the Frog,7.1,1,0,0,1,Animation;Adventure;Comedy;Family;Fantasy;Musical;Romance,97
Bad Genius,7.6,1,0,0,0,Comedy;Crime;Drama;Thriller,130
The Wicker Man,7.5,1,0,0,0,Horror;Mystery;Thriller,88
A Single Man,7.6,1,0,0,0,Drama;Romance,99
Blow,7.6,1,0,0,0,Biography;Crime;Drama,124
The Squid and the Whale,7.3,1,0,1,0,Comedy;Drama,81
My Life as a Zucchini,7.8,1,0,0,0,Animation;Comedy;Drama;Family,66
Jim & Andy: The Great Beyond- Featuring a Very Special; Contractually Obligated Mention of Tony Clifton,7.7,1,0,0,0,Documentary,94
Barfi!,8.1,1,0,0,0,Comedy;Drama;Romance,151
Frances Ha,7.5,1,0,0,0,Comedy;Drama;Romance,86
Tootsie,7.4,1,0,0,0,Comedy;Drama;Romance,116
Solo: A Star Wars Story,6.9,1,0,0,0,Action;Adventure;Sci-Fi,135
Steve Jobs,7.2,1,0,0,0,Biography;Drama,122
Tremors,7.1,1,0,0,0,Comedy;Horror,96
The Croods,7.2,1,0,0,0,Animation;Action;Adventure;Comedy;Family;Fantasy,98
Locke,7.1,1,0,0,0,Drama,85
